"filename", "language", "JSON with Comments", "JSON", "JavaScript", "Markdown", "TypeScript JSX", "XML", "SCSS", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\Marshal\Desktop\js\Ambient-Focus\README.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 16, 39
"c:\Users\Marshal\Desktop\js\Ambient-Focus\additional.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\Marshal\Desktop\js\Ambient-Focus\next.config.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 2, 24
"c:\Users\Marshal\Desktop\js\Ambient-Focus\package-lock.json", "JSON", 0, 4222, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4223
"c:\Users\Marshal\Desktop\js\Ambient-Focus\package.json", "JSON", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\Marshal\Desktop\js\Ambient-Focus\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Marshal\Desktop\js\Ambient-Focus\public\assets\img\mobile phone preview.svg", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\Marshal\Desktop\js\Ambient-Focus\public\next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Marshal\Desktop\js\Ambient-Focus\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\components\footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\components\navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 5, 27
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\data\soundsMeta.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 4, 102
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\pages\_app.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\pages\_document.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\pages\api\hello.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 3, 14
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\pages\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\pages\landing\hero.tsx", "TypeScript JSX", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 7, 43
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\pages\landing\learn-more.tsx", "TypeScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 4, 43
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\pages\player\player.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\pages\player\soundcard.tsx", "TypeScript JSX", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 10, 79
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\pages\player\sounds.tsx", "TypeScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 8, 47
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\styles\Footer.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 10
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\styles\Hero.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 15, 79
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\styles\Index.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 9, 69
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\styles\LearnMore.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 15, 84
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\styles\Navbar.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 2, 19
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\styles\Player.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 7, 61
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\styles\Soundcard.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 6, 54
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\styles\Sounds.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 3, 38
"c:\Users\Marshal\Desktop\js\Ambient-Focus\src\styles\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 21, 4, 7, 32
"c:\Users\Marshal\Desktop\js\Ambient-Focus\tailwind.config.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 1, 19
"c:\Users\Marshal\Desktop\js\Ambient-Focus\tsconfig.json", "JSON with Comments", 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 24
"Total", "-", 19, 4255, 44, 23, 277, 16, 357, 111, 21, 12, 144, 5279